Month,HEADLINE_CPI_USA,IR3TIB_USA,IRLT_USA,IRSTCI_USA,CORE_CPI_USA,DGS2_USA,DIV_YIELD_USA,CREDIT_SPREAD_BAA_USA,CREDIT_SPREAD_AAA_USA,HY_SPREAD_USA,SPREAD_10Y3M_USA,SPREAD_10Y2Y_USA,SPREAD_BAA_AAA_USA
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,2.58,1.7,,1.04,0.917,0.8800000000000001
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,2.6,1.73,,1.04,0.917,0.8700000000000001
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,2.59,1.74,,1.04,0.917,0.8499999999999999
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,2.6,1.78,,1.04,0.917,0.8200000000000001
2016-10,1.0,0.72,1.76,0.4,249.142,0.843,146.30700000000002,2.61,1.77,,1.04,0.917,0.8399999999999999
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,2.61,1.77,,1.4300000000000002,1.1605,0.8399999999999999
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,2.63,1.8,,1.4300000000000002,1.1605,0.8299999999999998
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,2.67,1.83,,1.4300000000000002,1.1605,0.8399999999999999
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,2.67,1.83,,1.4300000000000002,1.1605,0.8399999999999999
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,2.66,1.84,,1.4300000000000002,1.1605,0.8200000000000001
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,2.62,1.82,,1.4300000000000002,1.1605,0.8
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,2.66,1.78,,1.4300000000000002,1.1605,0.8800000000000001
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,2.6,1.72,,1.4300000000000002,1.1605,0.8800000000000001
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,,,,1.4300000000000002,1.1605,
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,2.6,1.74,,1.4300000000000002,1.1605,0.8600000000000001
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,2.59,1.68,,1.4300000000000002,1.1605,0.91
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,2.55,1.64,,1.4300000000000002,1.1605,0.91
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,2.54,1.67,,1.4300000000000002,1.1605,0.8700000000000001
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,2.52,1.65,,1.4300000000000002,1.1605,0.8700000000000001
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,2.52,1.67,,1.4300000000000002,1.1605,0.8500000000000001
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,2.53,1.7,,1.4300000000000002,1.1605,0.8299999999999998
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,2.49,1.66,,1.4300000000000002,1.1605,0.8300000000000003
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,,,,1.4300000000000002,1.1605,
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,2.48,1.66,,1.4300000000000002,1.1605,0.8200000000000001
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,2.47,1.66,,1.4300000000000002,1.1605,0.8100000000000003
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,2.46,1.65,,1.4300000000000002,1.1605,0.81
2016-11,1.1,0.71,2.14,0.41,249.481,0.9795,146.30700000000002,2.45,1.64,,1.4300000000000002,1.1605,0.8100000000000003
2016-12,1.6,0.87,2.49,0.54,249.92,1.1966666666666663,146.30700000000002,2.42,1.63,,1.62,1.2933333333333337,0.79
2016-12,1.6,0.87,2.49,0.54,249.92,1.1966666666666663,146.30700000000002,2.42,1.63,,1.62,1.2933333333333337,0.79
2016-12,1.6,0.87,2.49,0.54,249.92,1.1966666666666663,146.30700000000002,2.42,1.63,,1.62,1.2933333333333337,0.79
2016-12,1.6,0.87,2.49,0.54,249.92,1.1966666666666663,146.30700000000002,2.44,1.65,,1.62,1.2933333333333337,0.79
2016-12,1.6,0.87,2.49,0.54,249.92,1.1966666666666663,146.30700000000002,2.44,1.66,,1.62,1.2933333333333337,0.78
2016-12,1.6,0.87,2.49,0.54,249.92,1.1966666666666663,146.30700000000002,2.43,1.65,,1.62,1.2933333333333337,0.7800000000000002
2016-12,1.6,0.87,2.49,0.54,249.92,1.1966666666666663,146.30700000000002,2.43,1.65,,1.62,1.2933333333333337,0.7800000000000002
2016-12,1.6,0.87,2.49,0.54,249.92,1.1966666666666663,146.30700000000002,2.41,1.62,,1.62,1.2933333333333337,0.79
2016-12,1.6,0.87,2.49,0.54,249.92,1.1966666666666663,146.30700000000002,2.39,1.61,,1.62,1.2933333333333337,0.78
2016-12,1.6,0.87,2.49,0.54,249.92,1.1966666666666663,146.30700000000002,2.32,1.54,,1.62,1.2933333333333337,0.7799999999999998
2016-12,1.6,0.87,2.49,0.54,249.92,1.1966666666666663,146.30700000000002,2.24,1.47,,1.62,1.2933333333333337,0.7700000000000002
2016-12,1.6,0.87,2.49,0.54,249.92,1.1966666666666663,146.30700000000002,2.28,1.51,,1.62,1.2933333333333337,0.7699999999999998
2016-12,1.6,0.87,2.49,0.54,249.92,1.1966666666666663,146.30700000000002,2.28,1.51,,1.62,1.2933333333333337,0.7699999999999998
2016-12,1.6,0.87,2.49,0.54,249.92,1.1966666666666663,146.30700000000002,2.28,1.52,,1.62,1.2933333333333337,0.7599999999999998
2016-12,1.6,0.87,2.49,0.54,249.92,1.1966666666666663,146.30700000000002,2.26,1.5,,1.62,1.2933333333333337,0.7599999999999998
